table,sourceType,targetType,relType_name,relType_type,count_subset,count_table,notes
relation_product_datasource_20250912,product,datasource,isProvidedBy,provision,"546,628,215","941,936,113",
relation_product_datasource_20250912,product,datasource,isHostedBy,provision,"395,272,127","941,936,113",
relation_product_datasource_20250912,product,datasource,IsRelatedTo,relationship,"35,771","941,936,113",
relation_product_organization_20250912,product,organization,hasAuthorInstitution,affiliation,"299,731,083","300,294,592",
relation_product_organization_20250912,product,organization,HasPart,[check],"563,509","300,294,592",
relation_product_project_20250912,product,project,isProducedBy,outcome,"9,010,189","9,030,429",
relation_product_project_20250912,product,project,HasPart,[check],"20,240","9,030,429",
relation_organization_project_20250912,organization,project,isParticipant,participation,"4,490,902","4,490,902",
relation_organization_datasource_20250912,organization,datasource,provides,provision,"55,723","55,723",
relation_organization_organization_20250912,organization,organization,IsChildOf,relationship,"6,071","12,142",includes reciprocal relationships
relation_organization_organization_20250912,organization,organization,IsParentOf,relationship,"6,071","12,142",includes reciprocal relationships
relation_community_20250912,community,product,IsRelatedTo,relationship,"107,939,837","107,994,027",
relation_community_20250912,community,project,IsRelatedTo,relationship,"52,203","107,994,027",
relation_community_20250912,community,datasource,IsRelatedTo,relationship,"1,554","107,994,027",
relation_community_20250912,community,organization,IsRelatedTo,relationship,433,"107,994,027",
relation_product_product_cites_20250912,product,product,Cites,citation,"2,334,772,909","2,334,772,909",
relation_product_product_other_20250912,product,product,IsRelatedTo,relationship,"148,026,368","913,004,289",
relation_product_product_other_20250912,product,product,IsDerivedFrom,relationship,"686,853,027","913,004,289",
relation_product_product_other_20250912,product,product,IsAmongTopNSimilarDocuments,similarity,"63,062,491","913,004,289",
relation_product_product_other_20250912,product,product,References,relationship,"4,977,891","913,004,289",
relation_product_product_other_20250912,product,product,HasPart,part,"5,079,836","913,004,289",
relation_product_product_other_20250912,product,product,IsSupplementTo,supplement,"2,886,422","913,004,289",
relation_product_product_other_20250912,product,product,IsNewVersionOf,version,"684,691","913,004,289",
relation_product_product_other_20250912,product,product,Continues,relationship,"367,536","913,004,289",
relation_product_product_other_20250912,product,product,HasVersion,version,"464,068","913,004,289",
relation_product_product_other_20250912,product,product,Documents,relationship,"362,927","913,004,289",
relation_product_product_other_20250912,product,product,IsIdenticalTo,relationship,"88,414","913,004,289",
relation_product_product_other_20250912,product,product,IsOriginalFormOf,version,"70,829","913,004,289",
relation_product_product_other_20250912,product,product,Reviews,review,"41,743","913,004,289",
relation_product_product_other_20250912,product,product,Compiles,relationship,"27,551","913,004,289",
relation_product_product_other_20250912,product,product,Obsoletes,version,"3,883","913,004,289",
relation_product_product_other_20250912,product,product,Describes,relationship,"4,575","913,004,289",
relation_product_product_other_20250912,product,product,Requires,relationship,"1,398","913,004,289",
relation_product_product_other_20250912,product,product,IsMetadataFor,relationship,639,"913,004,289",
